Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
4669.0,1.9092000000000001e-29,-7.9909600000000005e-26,-7.9921299999999998e-26,-7.9907900000000004e-26,-8.2448100000000006e-30,-3.5883999999999999e-31,7.7567899999999997e-33
4670.0,2.2659700000000001e-29,-7.9922700000000004e-26,-7.9923400000000001e-26,-7.9923400000000001e-26,-8.4838799999999994e-30,-3.8416300000000002e-30,9.1793299999999995e-30
4671.0,2.0186599999999999e-29,-7.9920500000000002e-26,-7.99223e-26,-7.9920899999999994e-26,-8.1263599999999999e-30,-3.2102700000000001e-30,7.6554499999999996e-30
4672.0,1.8254100000000001e-29,-7.9921799999999999e-26,-7.9924299999999994e-26,-7.9921999999999995e-26,-8.0861900000000002e-30,-2.5393299999999999e-30,6.1068899999999998e-30
4673.0,1.63343e-29,-7.9920199999999997e-26,-7.9923300000000003e-26,-7.9919900000000003e-26,-7.8052799999999996e-30,-1.8941500000000001e-30,4.5796399999999999e-30
4674.0,1.49463e-29,-7.9922399999999998e-26,-7.9925899999999997e-26,-7.9921899999999997e-26,-7.6299699999999995e-30,-1.3824699999999999e-30,3.0876599999999999e-30
4675.0,1.42492e-29,-7.9920400000000004e-26,-7.9924400000000004e-26,-7.99195e-26,-7.6000899999999996e-30,-8.3797600000000004e-31,1.5731599999999999e-30
4676.0,1.23193e-29,-7.9923699999999995e-26,-7.9927800000000004e-26,-7.9922499999999996e-26,-6.5251199999999993e-30,-3.0485600000000001e-31,-2.3878899999999999e-32
4677.0,2.4008799999999999e-29,-7.9930100000000004e-26,-7.9925199999999999e-26,-7.9930600000000005e-26,-8.1906699999999997e-30,-3.8944700000000003e-30,1.00599e-29
4678.0,2.14172e-29,-7.9930600000000005e-26,-7.9926499999999996e-26,-7.9930899999999999e-26,-8.0157399999999994e-30,-3.2578299999999998e-30,8.4859899999999997e-30
4679.0,1.88924e-29,-7.9929600000000002e-26,-7.9925799999999999e-26,-7.9929399999999995e-26,-7.7243700000000005e-30,-2.5925199999999999e-30,6.9204199999999994e-30
