Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
171.0,1049.55,-185.221,-290.61700000000002,269.46699999999998,90.407700000000006,466.964,-228.83199999999999
172.0,1047.3499999999999,-110.994,-269.995,218.536,62.998399999999997,491.11099999999999,-241.661
173.0,1051.22,-27.075099999999999,-251.297,170.25,33.249400000000001,510.51600000000002,-249.279
174.0,1054.6199999999999,90.545400000000001,-193.73699999999999,156.816,4.75631,521.59799999999996,-252.93199999999999
175.0,1057.6099999999999,175.291,-173.66499999999999,107.33799999999999,-18.679200000000002,525.15800000000002,-249.96299999999999
176.0,1056.28,240.60599999999999,-165.25999999999999,45.084200000000003,-41.5944,517.178,-248.00299999999999
177.0,1047.1400000000001,290.61900000000003,-165.892,-30.961300000000001,-59.084200000000003,497.70400000000001,-243.50700000000001
178.0,1036.1800000000001,343.62700000000001,-157.37100000000001,-96.365399999999994,-74.421400000000006,469.50799999999998,-239.16
179.0,1023.0599999999999,378.70100000000002,-159.96299999999999,-171.274,-86.823400000000007,433.02499999999998,-234.61500000000001
180.0,1010.4400000000001,420.24799999999999,-149.53999999999999,-228.881,-97.873199999999997,390.447,-230.03800000000001
181.0,997.81600000000003,440.88299999999998,-152.96199999999999,-295.04599999999999,-107.532,342.29000000000002,-225.274
182.0,986.42899999999997,468.19299999999998,-143.828,-341.68200000000002,-116.59999999999999,289.95999999999998,-220.01400000000001
183.0,838.96900000000005,-246.12700000000001,-298.10199999999998,290.35199999999998,280.12299999999999,-199.68700000000001,100.735
184.0,852.61599999999999,-284.161,-310.09899999999999,312.34699999999998,289.09699999999998,-170.08199999999999,76.318399999999997
185.0,865.80100000000004,-302.91899999999998,-304.654,348.18200000000002,295.471,-135.21000000000001,50.962000000000003
186.0,879.11400000000003,-331.93200000000002,-312.5,367.09300000000002,298.87700000000001,-96.125200000000007,23.8675
187.0,892.36900000000003,-341.36900000000003,-304.45100000000002,397.024,299.22300000000001,-52.728900000000003,-4.1016500000000002
188.0,905.846,-358.13799999999998,-308.27300000000002,409.78100000000001,296.27999999999997,-5.6726400000000003,-32.767400000000002
189.0,919.48400000000004,-354.875,-297.363,430.97000000000003,290.15499999999997,44.380800000000001,-61.3964
190.0,932.98299999999995,-356.72800000000001,-297.43400000000003,433.62400000000002,281.13900000000001,96.537899999999993,-89.578100000000006
191.0,945.83000000000004,-339.24700000000001,-284.48599999999999,440.66500000000002,269.75099999999998,149.536,-116.419
